GENE_ID	GENE_NAME	GENE_DESCRIPTION	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000030082.15	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae) 	2864.691711	0.094697417	0.072339723	1.309065244	0.190512251	0.670553551
ENSMUSG00000095401.3	Olfr804	olfactory receptor 804 	82.08520751	-0.260737472	0.199211804	-1.308845492	0.190586693	0.670553551
ENSMUSG00000048701.14	Ccdc6	coiled-coil domain containing 6 	1898.831885	0.0889689	0.067976855	1.30881166	0.190598156	0.670553551
ENSMUSG00000038765.15	Lmx1b	LIM homeobox transcription factor 1 beta 	5.009506811	-1.605426769	1.226660649	-1.308778243	0.190609479	NA
ENSMUSG00000115622.2	Gm49117	predicted gene, 49117 	5.932729926	-1.20944734	0.924120588	-1.308754892	0.190617391	NA
ENSMUSG00000035299.17	Mid1	midline 1 	1225.785642	-0.459317465	0.350961578	-1.308740027	0.190622428	0.670553551
ENSMUSG00000027570.16	Col9a3	collagen, type IX, alpha 3 	864.6685017	-0.540716086	0.413190893	-1.308635055	0.190658001	0.670553551
ENSMUSG00000100586.3	Vmn1r90	vomeronasal 1 receptor 90 	45.41178768	-0.302974834	0.231558561	-1.308415599	0.190732385	0.670558461
ENSMUSG00000112516.2	Gm47968	predicted gene, 47968 	159.1762654	-0.232280645	0.177531701	-1.308389678	0.190741172	0.670558461
ENSMUSG00000024227.15	Pdzph1	PDZ and pleckstrin homology domains 1 	151.8763963	0.208140664	0.159135063	1.307949742	0.190890356	0.670921956
ENSMUSG00000059713.13	Rcan3	regulator of calcineurin 3 	2525.302033	0.138910652	0.106218113	1.307786853	0.190945615	0.670921956
ENSMUSG00000034575.14	Tent4a	terminal nucleotidyltransferase 4A 	1489.948195	0.102186551	0.078140826	1.307722944	0.190967298	0.670921956
ENSMUSG00000036617.18	Etl4	enhancer trap locus 4 	2138.464817	-0.181914387	0.139163163	-1.307202152	0.191144065	0.671399157
ENSMUSG00000049353.18	Rd3	retinal degeneration 3 	38.8447047	-0.752665913	0.575991159	-1.306731713	0.191303844	0.671426611
ENSMUSG00000051396.16	Gm45902	predicted gene 45902 	305.9150718	-0.154692474	0.118393694	-1.306593861	0.191350683	0.671426611
ENSMUSG00000048832.10	Vps37c	vacuolar protein sorting 37C 	940.1672554	-0.191467241	0.146539994	-1.306586934	0.191353037	0.671426611
ENSMUSG00000029550.12	Sppl3	signal peptide peptidase 3 	2179.513517	-0.152185689	0.116480059	-1.306538562	0.191369474	0.671426611
ENSMUSG00000075121.3	Olfr1195	olfactory receptor 1195 	49.76052546	-0.313809876	0.240198057	-1.306463005	0.191395152	0.671426611
ENSMUSG00000029754.14	Dlx6	distal-less homeobox 6 	1641.119682	0.127328388	0.097460906	1.306456023	0.191397525	0.671426611
ENSMUSG00000039062.16	Anpep	alanyl (membrane) aminopeptidase 	146.2407361	-0.260314195	0.199373467	-1.305661175	0.191667807	0.671656214
ENSMUSG00000006731.11	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1 	4039.766715	0.112389954	0.086083316	1.305595086	0.191690292	0.671656214
ENSMUSG00000028701.5	Lurap1	leucine rich adaptor protein 1 	845.5000918	-0.155574998	0.119171215	-1.305474631	0.19173128	0.671656214
ENSMUSG00000027195.11	Hsd17b12	hydroxysteroid (17-beta) dehydrogenase 12 	2223.137789	0.113669525	0.087077654	1.305381116	0.191763106	0.671656214
ENSMUSG00000056214.10	Pard6g	par-6 family cell polarity regulator gamma 	370.3148334	-0.149298468	0.114375313	-1.305338221	0.191777705	0.671656214
ENSMUSG00000095253.5	Zfp799	zinc finger protein 799 	1541.621104	-0.158198383	0.121217023	-1.305083882	0.191864286	0.671656214
ENSMUSG00000053559.14	Smagp	small cell adhesion glycoprotein 	36.27216441	0.387905384	0.297269972	1.304892592	0.191929424	0.671656214
ENSMUSG00000086316.9	Nbdy	negative regulator of P-body association 	781.6256285	0.13107414	0.100465259	1.304671295	0.1920048	0.671656214
ENSMUSG00000063317.8	Usp31	ubiquitin specific peptidase 31 	4976.32618	0.11886581	0.091116104	1.304553245	0.192045018	0.671656214
ENSMUSG00000025137.16	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine 	3037.304666	-0.067857342	0.052017409	-1.30451215	0.19205902	0.671656214
ENSMUSG00000036598.5	Ccdc113	coiled-coil domain containing 113 	100.8397416	-0.248339926	0.190379305	-1.304448121	0.192080837	0.671656214
ENSMUSG00000034327.18	Kctd9	potassium channel tetramerisation domain containing 9 	618.7778227	0.22910419	0.17564233	1.304379137	0.192104345	0.671656214
ENSMUSG00000002257.9	Def6	differentially expressed in FDCP 6 	73.24703409	-0.453362288	0.347642872	-1.304103505	0.192198294	0.671656214
ENSMUSG00000023045.14	Soat2	sterol O-acyltransferase 2 	40.24408057	0.369307268	0.283198509	1.304057954	0.192213823	0.671656214
ENSMUSG00000064351.1	mt-Co1	mitochondrially encoded cytochrome c oxidase I 	980210.2543	-0.089230619	0.068427952	-1.304008318	0.192230746	0.671656214
ENSMUSG00000027883.16	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans) 	537.773255	0.263333029	0.201950831	1.303946249	0.19225191	0.671656214
ENSMUSG00000028035.14	Dnajb4	DnaJ heat shock protein family (Hsp40) member B4 	3229.194945	0.133558635	0.102427366	1.303935073	0.192255721	0.671656214
ENSMUSG00000058325.7	Dock1	dedicator of cytokinesis 1 	1728.904651	0.09773112	0.074953509	1.303889862	0.192271137	0.671656214
ENSMUSG00000079502.9	Cfap77	cilia and flagella associated protein 77 	28.46644388	-0.511329953	0.39217215	-1.303840553	0.192287953	0.671656214
ENSMUSG00000021388.15	Aspn	asporin 	62.44041411	0.297423985	0.228126703	1.303766639	0.192313161	0.671656214
ENSMUSG00000079657.11	Rab26	RAB26, member RAS oncogene family 	1006.234336	-0.116060714	0.089022216	-1.303727533	0.192326498	0.671656214
ENSMUSG00000029618.14	Ocm	oncomodulin 	2.00118612	-1.950944279	1.496440436	-1.303723311	0.192327939	NA
ENSMUSG00000029681.13	Bcl7b	B cell CLL/lymphoma 7B 	1531.303452	-0.12744414	0.09778091	-1.303364234	0.192450441	0.671656214
ENSMUSG00000035383.8	Pmch	pro-melanin-concentrating hormone 	9.681980586	1.038681651	0.797002026	1.303235897	0.192494238	0.671656214
ENSMUSG00000047180.9	Neurl3	neuralized E3 ubiquitin protein ligase 3 	77.33797776	-0.299192969	0.229581154	-1.30321224	0.192502313	0.671656214
ENSMUSG00000008435.16	Rdh13	retinol dehydrogenase 13 (all-trans and 9-cis) 	776.9885962	0.112213836	0.086109284	1.303156072	0.192521484	0.671656214
ENSMUSG00000006587.7	Snai3	snail family zinc finger 3 	82.0594082	0.484057339	0.371455284	1.303137578	0.192527796	0.671656214
ENSMUSG00000029283.18	Cdc7	cell division cycle 7 (S. cerevisiae) 	813.0010905	0.139177067	0.106820067	1.302911249	0.192605063	0.671782865
ENSMUSG00000037579.8	Kcnh3	potassium voltage-gated channel, subfamily H (eag-related), member 3 	6238.911144	0.254915377	0.195675545	1.302745196	0.192661766	0.671837756
ENSMUSG00000114041.3	Gm9269	predicted gene 9269 	12.91589022	0.761112344	0.584320331	1.302560092	0.19272499	0.671915356
ENSMUSG00000002233.14	Rhoc	ras homolog family member C 	401.2958405	-0.134383175	0.103207084	-1.302073174	0.192891373	0.6723525
ENSMUSG00000107877.3	Gm43951	predicted gene, 43951 	2137.825475	-0.079162154	0.060821818	-1.301542049	0.193072981	0.672427913
ENSMUSG00000101391.4	Olfr1217	olfactory receptor 1217 	6.823827281	-0.84258809	0.647424749	-1.301445598	0.193105974	NA
ENSMUSG00000015850.12	Adamtsl4	ADAMTS-like 4 	612.765967	-0.311798369	0.239610758	-1.301270325	0.193165941	0.672427913
ENSMUSG00000048655.18	Ccdc169	coiled-coil domain containing 169 	12.55899228	1.08094492	0.830703024	1.301241104	0.19317594	0.672427913
ENSMUSG00000041841.9	Rpl37	ribosomal protein L37 	4577.467321	-0.064911921	0.049884837	-1.301235502	0.193177857	0.672427913
ENSMUSG00000002769.10	Gnmt	glycine N-methyltransferase 	17.84513919	0.496542166	0.381597076	1.301221099	0.193182785	0.672427913
ENSMUSG00000020496.11	Rnf187	ring finger protein 187 	8408.223346	0.041856777	0.032170362	1.301097508	0.193225081	0.672427913
ENSMUSG00000032198.10	Dock6	dedicator of cytokinesis 6 	1335.585254	-0.137417133	0.105621104	-1.301038599	0.193245243	0.672427913
ENSMUSG00000005718.9	Tfap4	transcription factor AP4 	103.2827919	0.295932979	0.227470925	1.300970572	0.193268528	0.672427913
ENSMUSG00000073420.11	Btnl5-ps	butyrophilin-like 5, pseudogene 	1.025964841	3.309431484	2.543899011	1.300928799	0.193282828	NA
ENSMUSG00000003037.17	Rab8a	RAB8A, member RAS oncogene family 	1213.935405	0.18741209	0.144102233	1.300549518	0.193412696	0.672427913
ENSMUSG00000056234.16	Ncoa4	nuclear receptor coactivator 4 	3960.862839	0.163851621	0.125997123	1.300439383	0.193450419	0.672427913
ENSMUSG00000024908.16	Ppp6r3	protein phosphatase 6, regulatory subunit 3 	3621.225592	0.084960772	0.06534035	1.300280328	0.193504908	0.672427913
ENSMUSG00000031785.17	Adgrg1	adhesion G protein-coupled receptor G1 	3186.938608	0.196502058	0.151134482	1.300180179	0.193539222	0.672427913
ENSMUSG00000042099.17	Kank3	KN motif and ankyrin repeat domains 3 	939.9714293	0.149494263	0.114995237	1.300003957	0.193599613	0.672427913
ENSMUSG00000061024.9	Rrs1	ribosome biogenesis regulator 1 	582.3177694	0.110839405	0.085262804	1.299973728	0.193609974	0.672427913
ENSMUSG00000021314.14	Amph	amphiphysin 	4062.984232	0.094670677	0.072830248	1.299881301	0.193641655	0.672427913
ENSMUSG00000022780.6	Meltf	melanotransferrin 	18.37932757	-0.605058618	0.465502036	-1.299798006	0.193670209	0.672427913
ENSMUSG00000079845.9	Xlr4a	X-linked lymphocyte-regulated 4A 	16.21321395	0.992596255	0.76365638	1.299794358	0.19367146	0.672427913
ENSMUSG00000101462.3	Gm3052	predicted gene 3052 	174.6570448	0.191419035	0.147271977	1.299765504	0.193681352	0.672427913
ENSMUSG00000037098.19	Rab11fip3	RAB11 family interacting protein 3 (class II) 	4800.397775	0.072183924	0.055538196	1.299716755	0.193698066	0.672427913
ENSMUSG00000066682.12	Pilrb2	paired immunoglobin-like type 2 receptor beta 2 	0.967758004	-2.463594949	1.89551185	-1.299699049	0.193704136	NA
ENSMUSG00000091002.3	Tcerg1l	transcription elongation regulator 1-like 	214.9779876	0.434200793	0.334099619	1.29961475	0.193733042	0.672427913
ENSMUSG00000029675.13	Eln	elastin 	291.528845	-0.329747087	0.253857473	-1.298945757	0.193962545	0.673082044
ENSMUSG00000020901.14	Pik3r5	phosphoinositide-3-kinase regulatory subunit 5 	210.7290369	-0.195175114	0.150277609	-1.298763772	0.194025011	0.673156374
ENSMUSG00000083650.2	Gm13357	predicted gene 13357 	2.251790185	1.401693119	1.079264296	1.298748716	0.19403018	NA
ENSMUSG00000026617.17	Bpnt1	3'(2'), 5'-bisphosphate nucleotidase 1 	2014.469453	0.144387498	0.111191034	1.298553428	0.194097229	0.673264501
ENSMUSG00000018363.17	Smurf2	SMAD specific E3 ubiquitin protein ligase 2 	1888.432254	-0.069518673	0.053541057	-1.29841802	0.19414373	0.673283396
ENSMUSG00000075410.14	Prcd	photoreceptor disc component 	73.91231434	-0.325042081	0.250388129	-1.29815292	0.194234792	0.673456786
ENSMUSG00000004113.19	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit 	5367.004299	0.216952825	0.167148827	1.297962001	0.194300393	0.673521002
ENSMUSG00000021647.8	Cartpt	CART prepropeptide 	85.39597464	0.670165958	0.51636229	1.297859992	0.19433545	0.673521002
ENSMUSG00000034116.18	Vav1	vav 1 oncogene 	205.5213376	0.178552371	0.13764643	1.297181271	0.194568823	0.67401352
ENSMUSG00000059429.4	Olfr365	olfactory receptor 365 	165.5625236	-0.177906322	0.137152966	-1.297137987	0.194583713	0.67401352
ENSMUSG00000041062.8	Mslnl	mesothelin-like 	21.7860161	0.626597764	0.483080321	1.29708816	0.194600855	0.67401352
ENSMUSG00000102048.2	Gm6075	predicted gene 6075 	1.904517591	1.4992282	1.156357405	1.296509362	0.194800057	NA
ENSMUSG00000021494.10	Ddx41	DEAD box helicase 41 	1251.014219	0.124141225	0.095751117	1.296498969	0.194803635	0.674573398
ENSMUSG00000028333.11	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B 	1961.085535	-0.115323501	0.088965189	-1.296276691	0.194880176	0.674619519
ENSMUSG00000022403.16	St13	suppression of tumorigenicity 13 	5769.941405	0.114999703	0.088726823	1.29610977	0.19493767	0.674619519
ENSMUSG00000031266.8	Gla	galactosidase, alpha 	374.0035931	0.334312299	0.257943672	1.296067068	0.194952379	0.674619519
ENSMUSG00000038903.14	Ccdc68	coiled-coil domain containing 68 	5.429551055	-0.962814737	0.742944974	-1.295943537	0.194994938	NA
ENSMUSG00000030002.16	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) 	5409.236087	0.114315256	0.088211321	1.295925003	0.195001324	0.674619519
ENSMUSG00000028931.13	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2 	10838.86478	0.08093275	0.06246097	1.295733145	0.195067438	0.674619519
ENSMUSG00000040606.15	Kazn	kazrin, periplakin interacting protein 	8720.018516	0.187300091	0.144555772	1.295694307	0.195080824	0.674619519
ENSMUSG00000018481.10	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2 	3547.600767	0.084208183	0.06501069	1.295297494	0.195217623	0.674619519
ENSMUSG00000026679.4	Enkur	enkurin, TRPC channel interacting protein 	92.22366211	-0.410021536	0.316573939	-1.295184113	0.195256724	0.674619519
ENSMUSG00000095681.8	Gm8281	predicted gene, 8281 	44.15169182	0.478886759	0.369762287	1.295120611	0.195278626	0.674619519
ENSMUSG00000026409.15	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 	2462.990252	-0.084439129	0.065205338	-1.294972638	0.195329669	0.674619519
ENSMUSG00000007888.16	Crlf1	cytokine receptor-like factor 1 	14.10744611	-0.852977272	0.658690788	-1.294958556	0.195334527	0.674619519
ENSMUSG00000027487.12	Cdk5rap1	CDK5 regulatory subunit associated protein 1 	314.3740161	-0.1737326	0.134162077	-1.29494567	0.195338972	0.674619519
ENSMUSG00000042379.9	Esm1	endothelial cell-specific molecule 1 	9.610048396	-0.973711461	0.751977742	-1.294867396	0.195365977	0.674619519
ENSMUSG00000046242.9	Nme9	NME/NM23 family member 9 	39.12341558	-0.46862287	0.361929902	-1.294789037	0.195393015	0.674619519
ENSMUSG00000036270.17	Edc4	enhancer of mRNA decapping 4 	3019.2281	0.061583893	0.047567239	1.294670317	0.195433984	0.674619519
ENSMUSG00000094281.2	Gm8034	predicted gene 8034 	7.760194035	0.8041147	0.621181943	1.294491427	0.195495729	NA
ENSMUSG00000029759.10	Pon3	paraoxonase 3 	92.65090726	-0.480712064	0.371362295	-1.294455767	0.195508038	0.674659137
ENSMUSG00000026854.17	Usp20	ubiquitin specific peptidase 20 	3169.759596	0.109966012	0.084960601	1.294317722	0.195555697	0.674659137
ENSMUSG00000022468.13	Endou	endonuclease, polyU-specific 	20.87332891	0.505238337	0.390362602	1.29427956	0.195568874	0.674659137
ENSMUSG00000117049.2	Gm6540	predicted gene 6540 	1.089195995	-2.646115583	2.04452464	-1.294244898	0.195580843	NA
ENSMUSG00000033416.16	Gucd1	guanylyl cyclase domain containing 1 	826.6160515	-0.099450556	0.076849663	-1.294092293	0.195633544	0.674740297
ENSMUSG00000046636.6	Gm7729	predicted gene 7729 	1.963789728	-4.402922755	3.402751166	-1.293930276	0.195689506	NA
ENSMUSG00000110679.2	Rpl10-ps5	ribosomal protein L10, pseudogene 5 	1.963789728	-4.402922755	3.402751166	-1.293930276	0.195689506	NA
ENSMUSG00000060771.16	Tsga10	testis specific 10 	848.8060908	0.092735944	0.07167824	1.293780979	0.195741085	0.674969257
ENSMUSG00000113354.2	Gm20789	predicted gene, 20789 	0.906630131	2.361205034	1.825599561	1.293386066	0.195877567	NA
ENSMUSG00000044787.8	Spata32	spermatogenesis associated 32 	16.94549425	0.553092366	0.427640121	1.293359389	0.195886789	0.675329691
ENSMUSG00000000149.11	Gna12	guanine nucleotide binding protein, alpha 12 	5156.627365	-0.110999876	0.085831964	-1.293223071	0.195933919	0.675350203
ENSMUSG00000014859.10	E2f4	E2F transcription factor 4 	1082.074093	0.116848594	0.090390788	1.292704668	0.196113223	0.675576589
ENSMUSG00000060487.8	Samd5	sterile alpha motif domain containing 5 	1371.736891	-0.160167368	0.12390434	-1.292669556	0.196125371	0.675576589
ENSMUSG00000022674.16	Ube2v2	ubiquitin-conjugating enzyme E2 variant 2 	2415.691212	0.090345201	0.069895338	1.29257836	0.196156928	0.675576589
ENSMUSG00000025277.15	Abhd6	abhydrolase domain containing 6 	1313.081838	0.093735669	0.072519572	1.292556847	0.196164373	0.675576589
ENSMUSG00000057342.16	Sphk2	sphingosine kinase 2 	999.9841653	0.225926339	0.174846269	1.292142751	0.196307713	0.675748127
ENSMUSG00000002055.10	Spag5	sperm associated antigen 5 	183.3331677	0.261888815	0.202720055	1.291874232	0.196400703	0.675748127
ENSMUSG00000055312.3	Them7	thioesterase superfamily member 7 	0.900268186	2.361237996	1.827763513	1.291872816	0.196401193	NA
ENSMUSG00000030697.8	Ppp4c	protein phosphatase 4, catalytic subunit 	1320.555511	0.142940146	0.110653905	1.291776794	0.196434454	0.675748127
ENSMUSG00000025809.16	Itgb1	integrin beta 1 (fibronectin receptor beta) 	2796.16594	-0.059225011	0.045852616	-1.291638651	0.196482312	0.675748127
ENSMUSG00000006335.17	Tfpt	TCF3 (E2A) fusion partner 	533.9202518	0.145715015	0.112814353	1.291635423	0.196483431	0.675748127
ENSMUSG00000022211.10	Carmil3	capping protein regulator and myosin 1 linker 3 	2174.767968	0.133771228	0.103569372	1.291609915	0.196492269	0.675748127
ENSMUSG00000022724.16	Riox2	ribosomal oxygenase 2 	662.6772743	-0.12379491	0.095847646	-1.291580067	0.196502611	0.675748127
ENSMUSG00000100145.2	Gm8502	predicted gene 8502 	2.040543738	-2.111249365	1.635237489	-1.291096479	0.196670225	NA
ENSMUSG00000028172.6	Tacr3	tachykinin receptor 3 	387.4323898	0.239058303	0.185174578	1.290988783	0.196707567	0.676195698
ENSMUSG00000074259.11	Gramd2	GRAM domain containing 2 	479.6177895	-0.228398387	0.176920432	-1.290966702	0.196715224	0.676195698
ENSMUSG00000036327.19	Qsox2	quiescin Q6 sulfhydryl oxidase 2 	1555.680438	0.070692438	0.054770721	1.29069759	0.196808561	0.676215465
ENSMUSG00000042870.16	Tom1	target of myb1 trafficking protein 	1259.764955	0.082987354	0.064298151	1.290664703	0.196819969	0.676215465
ENSMUSG00000020263.15	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 	3858.26156	-0.108133478	0.083785854	-1.290593496	0.196844673	0.676215465
ENSMUSG00000048429.11	Timm29	translocase of inner mitochondrial membrane 29 	2441.953627	-0.06113533	0.047374636	-1.290465426	0.196889109	0.676226467
ENSMUSG00000006169.21	Clint1	clathrin interactor 1 	1879.932833	0.098724083	0.07653779	1.289873713	0.197094509	0.67625491
ENSMUSG00000037815.8	Ctnna1	catenin (cadherin associated protein), alpha 1 	4728.052821	-0.098836618	0.076630654	-1.289779134	0.197127355	0.67625491
ENSMUSG00000016262.15	Sertad4	SERTA domain containing 4 	1813.772887	-0.102367082	0.079371477	-1.289721259	0.197147456	0.67625491
ENSMUSG00000059263.10	Usp47	ubiquitin specific peptidase 47 	4190.467863	0.063467303	0.049210228	1.289717717	0.197148686	0.67625491
ENSMUSG00000054400.17	Cklf	chemokine-like factor 	202.7365946	-0.247615068	0.191994687	-1.2896975	0.197155708	0.67625491
ENSMUSG00000117875.2	Gm6789	predicted gene 6789 	6.800228658	1.052265157	0.815906063	1.2896891	0.197158625	NA
ENSMUSG00000026278.15	Bok	BCL2-related ovarian killer 	391.6718996	-0.286014527	0.2217824	-1.289617782	0.197183399	0.67625491
ENSMUSG00000069289.3	Vmn1r203	vomeronasal 1 receptor 203 	146.4801941	-0.168261692	0.130475326	-1.289605454	0.197187681	0.67625491
ENSMUSG00000016206.7	H2-M3	histocompatibility 2, M region locus 3 	69.26599529	0.305557271	0.236959508	1.289491498	0.19722727	0.67625491
ENSMUSG00000090129.11	Olfr287	olfactory receptor 287 	269.9170541	0.206327074	0.160078008	1.288915797	0.197427361	0.676671378
ENSMUSG00000020930.10	Ccdc103	coiled-coil domain containing 103 	105.3834605	-0.224796175	0.174429128	-1.288753653	0.197483743	0.676671378
ENSMUSG00000003849.9	Nqo1	NAD(P)H dehydrogenase, quinone 1 	195.2946771	-0.257467267	0.199798289	-1.288635998	0.197524663	0.676671378
ENSMUSG00000084306.2	Gm11743	predicted gene 11743 	8.434098958	-0.767876995	0.595900784	-1.288598732	0.197537624	NA
ENSMUSG00000015854.8	Cd5l	CD5 antigen-like 	1.953603957	-1.556394546	1.207933374	-1.288477145	0.19757992	NA
ENSMUSG00000103677.2	Pcdhga4	protocadherin gamma subfamily A, 4 	1012.918564	-0.168005121	0.130396404	-1.288418362	0.19760037	0.676671378
ENSMUSG00000032495.9	Lrrc2	leucine rich repeat containing 2 	114.6436687	0.291511332	0.226257976	1.288402457	0.197605904	0.676671378
ENSMUSG00000109032.2	Gm7972	predicted gene 7972 	57.26966485	-0.303323459	0.23543724	-1.288341044	0.197627272	0.676671378
ENSMUSG00000013833.16	Med16	mediator complex subunit 16 	2156.685397	-0.074127791	0.057544861	-1.288173945	0.197685419	0.676671378
ENSMUSG00000041219.15	Arhgap11a	Rho GTPase activating protein 11A 	245.8259941	-0.151311097	0.11746842	-1.288100216	0.19771108	0.676671378
ENSMUSG00000020755.10	Sap30bp	SAP30 binding protein 	1767.35662	-0.108558251	0.084280526	-1.288058526	0.197725591	0.676671378
ENSMUSG00000021340.14	Gpld1	glycosylphosphatidylinositol specific phospholipase D1 	2323.904103	0.253523401	0.196841688	1.287955838	0.197761336	0.676671378
ENSMUSG00000034343.15	Ube2f	ubiquitin-conjugating enzyme E2F (putative) 	1562.784844	0.106146719	0.082426097	1.287780471	0.197822392	0.676739098
ENSMUSG00000022440.10	C1qtnf6	C1q and tumor necrosis factor related protein 6 	95.35864919	0.4919958	0.382202199	1.287265749	0.198001677	0.677092866
ENSMUSG00000046321.9	Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 	321.0522437	-0.325274195	0.2526899	-1.287246521	0.198008377	0.677092866
ENSMUSG00000114816.2	Gm10323	predicted gene 10323 	1.608344842	2.450339684	1.903745639	1.287115061	0.198054187	NA
ENSMUSG00000040037.14	Negr1	neuronal growth regulator 1 	6635.645383	0.149455331	0.116122097	1.287053331	0.1980757	0.677161274
ENSMUSG00000028980.15	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) 	451.5217059	-0.205168455	0.159421975	-1.286952161	0.198110963	0.677161274
ENSMUSG00000034636.10	Zyg11b	zyg-ll family member B, cell cycle regulator 	7945.085922	0.069018358	0.053636498	1.286779726	0.198171075	0.677225596
ENSMUSG00000070777.6	Ceacam20	carcinoembryonic antigen-related cell adhesion molecule 20 	11.68205135	0.68994381	0.536245235	1.286619936	0.198226791	0.677274871
ENSMUSG00000025507.14	Pidd1	p53 induced death domain protein 1 	95.47317364	-0.36454791	0.283373778	-1.286456043	0.19828395	0.677282868
ENSMUSG00000028165.10	Cisd2	CDGSH iron sulfur domain 2 	1758.413894	-0.070312936	0.054662908	-1.286300681	0.198338145	0.677282868
ENSMUSG00000021928.10	Ebpl	emopamil binding protein-like 	436.9992286	-0.135936884	0.105687179	-1.286219258	0.198366552	0.677282868
ENSMUSG00000035164.9	Zc3h12c	zinc finger CCCH type containing 12C 	1093.982448	-0.120220493	0.093473902	-1.286139666	0.198394323	0.677282868
ENSMUSG00000092300.8	Cdk3	cyclin-dependent kinase 3 	45.47492054	0.325046273	0.252772224	1.285925597	0.19846903	0.677396896
ENSMUSG00000087610.2	Gm16253	predicted gene 16253 	0.899262149	2.344364283	1.823152736	1.285884741	0.19848329	NA
ENSMUSG00000034765.7	Dusp5	dual specificity phosphatase 5 	255.1057085	-0.195141468	0.151832218	-1.285244137	0.198706985	0.677670036
ENSMUSG00000022325.15	Pop1	processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae) 	462.9388748	0.130019325	0.101172273	1.28512805	0.198747541	0.677670036
ENSMUSG00000040848.12	Sft2d2	SFT2 domain containing 2 	2082.823782	-0.066672818	0.051889428	-1.28490176	0.198826616	0.677670036
ENSMUSG00000020392.9	Cdkn2aipnl	CDKN2A interacting protein N-terminal like 	987.7055208	0.089478472	0.06964214	1.284832311	0.198850889	0.677670036
ENSMUSG00000027287.15	Snap23	synaptosomal-associated protein 23 	646.4863683	-0.185853849	0.144660943	-1.284754857	0.198877962	0.677670036
ENSMUSG00000024294.15	Mib1	mindbomb E3 ubiquitin protein ligase 1 	7410.222611	0.084147789	0.065504285	1.28461502	0.198926847	0.677670036
ENSMUSG00000036504.7	Phpt1	phosphohistidine phosphatase 1 	989.003474	0.079487149	0.061876671	1.284606101	0.198929966	0.677670036
ENSMUSG00000059810.19	Rgs3	regulator of G-protein signaling 3 	1265.709784	-0.076436017	0.059510855	-1.284404618	0.199000418	0.677670036
ENSMUSG00000020827.19	Mink1	misshapen-like kinase 1 (zebrafish) 	22960.49517	0.095698782	0.074513509	1.284314518	0.199031929	0.677670036
ENSMUSG00000027610.18	Gss	glutathione synthetase 	484.2127682	-0.123738981	0.096348281	-1.284288409	0.199041061	0.677670036
ENSMUSG00000029705.18	Cux1	cut-like homeobox 1 	3715.553885	-0.058254367	0.045363804	-1.284159657	0.199086098	0.677670036
ENSMUSG00000055723.7	Rras2	related RAS viral (r-ras) oncogene 2 	254.2423489	-0.173203811	0.134894268	-1.283996824	0.199143067	0.677670036
ENSMUSG00000116093.2	Gm3888	predicted gene 3888 	1.887692057	4.370540224	3.403967832	1.28395462	0.199157834	NA
ENSMUSG00000024427.8	Spry4	sprouty RTK signaling antagonist 4 	432.5415776	0.254637532	0.198330713	1.283903678	0.19917566	0.677670036
ENSMUSG00000066571.14	Garre1	granule associated Rac and RHOG effector 1 	1989.384925	0.178841161	0.139314199	1.283725291	0.199238092	0.677670036
ENSMUSG00000031343.14	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3 	1734.768967	0.282211988	0.219839126	1.283720475	0.199239778	0.677670036
ENSMUSG00000035759.5	Bbs10	Bardet-Biedl syndrome 10 (human) 	215.7890333	-0.157650904	0.122835498	-1.283431149	0.199341067	0.677670036
ENSMUSG00000047443.15	Erfe	erythroferrone 	7.49711779	-0.856649428	0.667523504	-1.283324741	0.199378328	NA
ENSMUSG00000036045.7	Gm12221	predicted gene 12221 	1.056335495	-2.636016396	2.054108131	-1.283289987	0.199390499	NA
ENSMUSG00000022108.9	Itm2b	integral membrane protein 2B 	16655.70633	0.069032108	0.053803362	1.283044505	0.199476484	0.677670036
ENSMUSG00000081534.4	Slc48a1	solute carrier family 48 (heme transporter), member 1 	5285.089889	-0.099317575	0.077412918	-1.282958687	0.19950655	0.677670036
ENSMUSG00000027293.14	Ehd4	EH-domain containing 4 	433.6089015	0.322858217	0.251663207	1.282897966	0.199527826	0.677670036
ENSMUSG00000078816.11	Prkcg	protein kinase C, gamma 	7437.713157	-0.081585272	0.063598363	-1.282820321	0.199555033	0.677670036
