GENE	ZSTAT	P_MULTI
ENSG00000239474	-0.37733	0.64704
ENSG00000138399	0.024232	0.49033
ENSG00000138398	-0.66496	0.74696
ENSG00000144362	-0.19138	0.57589
ENSG00000213160	-1.2365	0.89186
ENSG00000138385	-0.065152	0.52597
ENSG00000138382	0.35082	0.36286
ENSG00000144357	1.4399	0.074946
ENSG00000071909	-0.0055699	0.50222
ENSG00000204335	0.25983	0.3975
ENSG00000204334	-0.22014	0.58712
ENSG00000128683	0.92125	0.17846
ENSG00000115806	-1.8292	0.96631
ENSG00000198586	0.072954	0.47092
ENSG00000123600	2.429	0.0075699
ENSG00000115827	1.6918	0.045339
ENSG00000071967	3.0542	0.0011284
ENSG00000077380	1.9397	0.026207
ENSG00000115840	1.9595	0.025026
ENSG00000128708	2.0464	0.020358
ENSG00000172878	1.5123	0.065227
ENSG00000144355	0.1158	0.45391
ENSG00000115844	-0.42609	0.66498
ENSG00000091409	0.13306	0.44707
ENSG00000152256	2.0758	0.018954
ENSG00000091428	-0.47213	0.68158
ENSG00000144354	0.63921	0.26134
ENSG00000172845	1.8117	0.035014
ENSG00000138430	0.063017	0.47488
ENSG00000217236	0.68476	0.24675
ENSG00000138433	-0.068734	0.5274
ENSG00000144306	-0.82007	0.79391
ENSG00000163328	-0.3766	0.64676
ENSG00000115935	0.84847	0.19809
ENSG00000138435	-0.61877	0.73197
ENSG00000128656	1.3421	0.089776
ENSG00000115966	0.45161	0.32577
ENSG00000174279	-0.70415	0.75933
ENSG00000128714	0.55112	0.29077
ENSG00000170178	0.90825	0.18187
ENSG00000128713	0.77247	0.21992
ENSG00000128710	0.6744	0.25003
ENSG00000128709	0.94785	0.1716
ENSG00000175879	0.69748	0.24275
ENSG00000128652	-0.16386	0.56508
ENSG00000170166	-0.37925	0.64775
ENSG00000128645	-1.1938	0.88373
ENSG00000128654	0.31581	0.37607
ENSG00000170144	-1.2359	0.89176
ENSG00000116044	1.3511	0.088324
ENSG00000018510	0.46423	0.32124
ENSG00000196659	0.26241	0.3965
ENSG00000197557	0.31633	0.37588
ENSG00000128655	0.7546	0.22525
ENSG00000155636	-1.2668	0.89738
ENSG00000079156	1.3652	0.086093
ENSG00000180228	1.1985	0.11536
ENSG00000079150	0.96385	0.16756
ENSG00000116095	0.5402	0.29453
ENSG00000155657	1.6918	0.045344
ENSG00000163492	1.4691	0.070908
ENSG00000187231	-0.15175	0.56031
ENSG00000144331	1.2693	0.10216
ENSG00000163510	-1.1541	0.87577
ENSG00000170035	2.3843	0.0085552
ENSG00000115232	1.0115	0.15588
ENSG00000188452	1.8982	0.028836
ENSG00000162992	0.83067	0.20308
ENSG00000150722	-1.0797	0.85985
ENSG00000115252	-0.87755	0.80991
ENSG00000077232	-2.047	0.97967
ENSG00000162998	0.74269	0.22884
ENSG00000061676	0.40188	0.34388
ENSG00000162999	2.0927	0.018189
ENSG00000163002	2.1633	0.015258
ENSG00000170396	0.091927	0.46338
ENSG00000188738	0.83702	0.20129
ENSG00000065548	0.68667	0.24615
ENSG00000138448	-0.64477	0.74046
ENSG00000144369	-1.5128	0.93484
ENSG00000163012	-1.2884	0.9012
ENSG00000064989	0.6058	0.27232
ENSG00000003436	0.87348	0.1912
ENSG00000144366	-0.35749	0.63964
ENSG00000174325	0.17875	0.42907
ENSG00000168542	-1.4829	0.93095
ENSG00000204262	-0.097014	0.53864
ENSG00000115368	-1.1601	0.877
ENSG00000138449	-1.3576	0.91271
ENSG00000138381	0.27256	0.3926
ENSG00000151687	0.2563	0.39886
ENSG00000128694	0.14848	0.44098
ENSG00000128699	0.14453	0.44254
ENSG00000064933	-0.85112	0.80265
ENSG00000187699	-0.4079	0.65833
ENSG00000138379	0.025653	0.48977
ENSG00000198130	1.1212	0.13111
ENSG00000151689	0.84571	0.19886
ENSG00000151690	1.7981	0.03608
ENSG00000138386	2.7985	0.0025668
ENSG00000115419	1.2411	0.10729
ENSG00000115415	1.4052	0.07998
ENSG00000138378	4.0853	2.20E-05
ENSG00000128641	-1.3135	0.90549
ENSG00000173559	-2.2054	0.98629
ENSG00000144339	-1.9995	0.97722
ENSG00000196950	0.019608	0.49218
ENSG00000118997	0.62778	0.26507
ENSG00000081320	0.5727	0.28342
ENSG00000138411	-0.18103	0.57183
ENSG00000144395	1.5658	0.058699
ENSG00000119041	1.887	0.029581
ENSG00000187944	1.2751	0.10114
ENSG00000197121	2.0102	0.022205
ENSG00000065413	-0.14703	0.55845
ENSG00000115524	0.68164	0.24773
ENSG00000115520	0.70273	0.24111
ENSG00000144381	0.65637	0.25579
ENSG00000115541	0.761	0.22333
ENSG00000270757	0.49548	0.31013
ENSG00000115540	0.43891	0.33036
ENSG00000162944	0.41654	0.33851
ENSG00000247626	0.35317	0.36198
ENSG00000152430	1.0388	0.14945
ENSG00000115896	1.1423	0.12667
ENSG00000119042	-1.041	0.85105
ENSG00000178074	3.6137	0.00015094
ENSG00000162971	3.7837	7.72E-05
ENSG00000196141	1.1026	0.1351
ENSG00000155729	-0.33086	0.62963
ENSG00000138356	2.0392	0.020717
ENSG00000082153	1.9596	0.02502
ENSG00000013441	2.4459	0.0072237
ENSG00000240344	1.7958	0.036259
ENSG00000196290	1.299	0.096966
ENSG00000115942	1.0299	0.15152
ENSG00000119013	1.3289	0.091937
ENSG00000003402	2.9157	0.0017742
ENSG00000003400	3.0894	0.0010029
ENSG00000064012	3.0833	0.0010235
ENSG00000115993	0.63186	0.26374
ENSG00000082146	0.36867	0.35619
ENSG00000155755	-0.69157	0.7554
ENSG00000082126	0.63413	0.263
ENSG00000003393	-0.53023	0.70202
ENSG00000138395	2.0374	0.020805
ENSG00000155760	0.57049	0.28417
ENSG00000182329	0.11281	0.45509
ENSG00000116030	-0.13352	0.55311
ENSG00000055044	-1.1572	0.8764
ENSG00000204217	-0.080393	0.53204
ENSG00000138439	2.0688	0.019284
ENSG00000163596	3.915	4.52E-05
ENSG00000138442	3.9951	3.23E-05
ENSG00000138380	3.9936	3.25E-05
ENSG00000144426	3.276	0.00052639
ENSG00000119004	2.6397	0.0041484
ENSG00000138443	2.3381	0.0096915
ENSG00000173166	2.2634	0.011807
ENSG00000178562	2.0509	0.020137
ENSG00000163599	0.85718	0.19567
ENSG00000163600	-0.09907	0.53946
ENSG00000116117	-0.14329	0.55697
ENSG00000118257	-0.67373	0.74976
ENSG00000114933	1.7247	0.042286
ENSG00000023228	2.3327	0.0098316
ENSG00000114942	2.3877	0.0084766
ENSG00000204186	2.5669	0.0051306
ENSG00000114948	-0.89668	0.81506
ENSG00000232125	-0.21805	0.5863
ENSG00000138400	0.29036	0.38577
ENSG00000118246	-0.64858	0.74169
ENSG00000144410	-1.2894	0.90138
ENSG00000118263	0.62065	0.26741
ENSG00000118260	0.58579	0.27901
ENSG00000144401	0.67309	0.25045
ENSG00000163249	-0.0088636	0.50354
ENSG00000163251	-0.22858	0.5904
ENSG00000178385	1.8748	0.030412
ENSG00000118231	-0.1295	0.55152
ENSG00000163254	-0.47984	0.68433
ENSG00000182187	-0.26078	0.60287
ENSG00000168582	-0.86636	0.80685
ENSG00000188674	-1.7279	0.95799
ENSG00000138413	0.45642	0.32404
ENSG00000115020	0.22099	0.41255
ENSG00000144407	0.41597	0.33872
ENSG00000078018	1.0783	0.14044
ENSG00000144406	-0.89552	0.81475
ENSG00000197713	-0.18961	0.57519
ENSG00000144445	0.88671	0.18762
ENSG00000115361	0.5627	0.28682
ENSG00000168530	0.66157	0.25412
ENSG00000115365	2.1698	0.015012
ENSG00000021826	0.30278	0.38103
ENSG00000178568	-1.1703	0.87907
ENSG00000030419	3.3934	0.00034509
ENSG00000144451	1.0346	0.15043
ENSG00000174453	-0.68314	0.75274
ENSG00000138376	0.93947	0.17374
ENSG00000144452	0.88539	0.18797
ENSG00000138363	0.92315	0.17796
ENSG00000115414	1.0482	0.14727
ENSG00000118242	-0.35381	0.63826
ENSG00000115425	1.763	0.038948
ENSG00000163449	2.675	0.0037362
ENSG00000079246	2.0026	0.022611
ENSG00000138375	-1.3128	0.90537
ENSG00000197756	-1.0304	0.8486
ENSG00000115457	-1.7743	0.96199
ENSG00000115461	-1.0506	0.85328
ENSG00000118245	-0.3458	0.63526
ENSG00000079308	-0.85726	0.80435
ENSG00000188282	1.73	0.041811
ENSG00000180871	-0.85634	0.80409
ENSG00000163464	-2.1569	0.98449
ENSG00000163466	-0.78809	0.78468
ENSG00000179921	-2.0086	0.97771
ENSG00000127837	-1.8265	0.96611
ENSG00000127838	-1.1451	0.87392
ENSG00000135926	-0.73247	0.76806
ENSG00000158428	-1.3554	0.91235
ENSG00000018280	-0.49604	0.69007
ENSG00000144579	0.38058	0.35176
ENSG00000127831	-0.059899	0.52388
ENSG00000135913	0.30319	0.38087
ENSG00000115556	0.41984	0.3373
ENSG00000115568	0.3954	0.34627
ENSG00000074582	0.39785	0.34537
ENSG00000163481	0.4835	0.31437
ENSG00000163482	0.61112	0.27056
ENSG00000135912	1.3173	0.093873
ENSG00000135929	1.3296	0.091832
ENSG00000115592	1.4919	0.067864
ENSG00000115596	0.83471	0.20194
ENSG00000135925	0.95596	0.16955
ENSG00000171450	0.55803	0.28841
ENSG00000163497	1.0237	0.15298
ENSG00000163499	1.5898	0.05594
ENSG00000163501	-1.0009	0.84155
ENSG00000187736	-0.93191	0.82431
ENSG00000213901	-0.019153	0.50764
ENSG00000115649	0.3491	0.36351
ENSG00000158552	-1.1981	0.88456
ENSG00000115657	-1.2648	0.89703
ENSG00000198925	-2.1336	0.98356
ENSG00000163516	-0.26626	0.60498
ENSG00000163521	-0.33058	0.62952
ENSG00000115661	-2.5698	0.99491
ENSG00000127824	-2.6037	0.99539
ENSG00000135924	-1.0984	0.86399
ENSG00000054356	-1.0254	0.84742
ENSG00000182698	0.4429	0.32892
ENSG00000123992	2.3882	0.0084666
ENSG00000175084	2.5108	0.0060229
ENSG00000072195	1.4213	0.077611
ENSG00000144591	1.1486	0.12535
ENSG00000072182	0.55274	0.29022
ENSG00000123989	0.52293	0.30051
ENSG00000188760	-0.28723	0.61303
ENSG00000124006	-1.1021	0.86478
ENSG00000123999	-0.8224	0.79457
ENSG00000144589	-1.4991	0.93308
ENSG00000114923	-0.71531	0.76279
ENSG00000116106	0.89563	0.18523
ENSG00000135903	0.10715	0.45733
ENSG00000163081	1.0795	0.14018
ENSG00000163082	1.7185	0.042854
ENSG00000116120	0.37052	0.3555
ENSG00000124003	0.60829	0.2715
ENSG00000123983	-0.17599	0.56985
ENSG00000152049	-0.33037	0.62944
ENSG00000171951	-0.27926	0.60998
ENSG00000152056	0.15055	0.44017
ENSG00000085449	-0.61762	0.73159
ENSG00000135900	-1.2362	0.89181
ENSG00000135919	-0.46255	0.67816
ENSG00000124019	-0.68674	0.75388
ENSG00000036257	0.0083814	0.49666
ENSG00000135905	1.2058	0.11394
ENSG00000144460	-0.15324	0.56089
ENSG00000169047	-0.23962	0.59469
ENSG00000144468	0.48402	0.31419
ENSG00000081052	-0.3518	0.63751
ENSG00000169031	0.91785	0.17935
ENSG00000168958	0.46432	0.32121
ENSG00000168955	0.93479	0.17495
ENSG00000173744	1.3331	0.091255
ENSG00000042304	-0.31934	0.62526
ENSG00000135917	0.68676	0.24612
ENSG00000115009	0.54069	0.29436
ENSG00000123977	-2.1658	0.98484
ENSG00000153820	-0.45388	0.67504
ENSG00000153823	-0.79593	0.78696
ENSG00000187957	0.8075	0.20969
ENSG00000153827	1.2295	0.10943
ENSG00000153832	0.95953	0.16865
ENSG00000163053	0.85743	0.1956
ENSG00000135899	5.9133	1.68E-09
ENSG00000079263	6.5437	3.00E-11
ENSG00000185404	4.3133	8.04E-06
ENSG00000067066	1.8712	0.030661
ENSG00000135932	-0.11928	0.54748
ENSG00000135916	-1.4366	0.92458
ENSG00000135898	-1.0929	0.86279
ENSG00000173699	-0.33981	0.633
ENSG00000204128	-1.206	0.88608
ENSG00000173692	-0.72693	0.76637
ENSG00000135914	-0.2994	0.61768
ENSG00000135931	-0.4587	0.67677
ENSG00000156966	-1.923	0.97276
ENSG00000115053	-0.45528	0.67554
ENSG00000171596	1.0115	0.15589
ENSG00000187514	-0.17424	0.56916
ENSG00000156973	-0.34369	0.63446
ENSG00000144524	-0.33456	0.63102
ENSG00000163273	-0.13272	0.55279
ENSG00000144535	-0.3741	0.64584
ENSG00000163283	-0.22113	0.58751
ENSG00000163295	0.2709	0.39323
ENSG00000171551	0.32938	0.37093
ENSG00000237412	-0.75085	0.77363
ENSG00000135902	-1.2108	0.88701
ENSG00000196811	-0.26726	0.60537
ENSG00000221944	0.17471	0.43065
ENSG00000135930	0.49486	0.31035
ENSG00000115468	1.3687	0.085539
ENSG00000204120	0.20956	0.41701
ENSG00000115474	0.5355	0.29615
ENSG00000066248	-0.77382	0.78048
ENSG00000115488	-0.1467	0.55831
ENSG00000085978	2.9751	0.0014642
ENSG00000130561	1.5395	0.061837
ENSG00000077044	1.6719	0.047268
ENSG00000085982	0.48913	0.31238
ENSG00000242366	0.21721	0.41402
ENSG00000242515	0.072663	0.47104
ENSG00000241119	0.06042	0.47591
ENSG00000244122	-0.0201	0.50802
ENSG00000167165	-0.09825	0.53913
ENSG00000288705	-0.6777	0.75102
ENSG00000244474	-0.60386	0.72703
ENSG00000288702	-0.57708	0.71806
ENSG00000227802	-0.079293	0.5316
ENSG00000241635	-0.89262	0.81397
ENSG00000185038	-0.66387	0.74661
ENSG00000123485	1.2595	0.10392
ENSG00000144481	-2.5431	0.99451
ENSG00000072080	-0.27001	0.60642
ENSG00000188042	0.35576	0.36101
ENSG00000130147	-0.34349	0.63438
ENSG00000157985	-1.2513	0.89459
ENSG00000168505	-0.015845	0.50632
ENSG00000182177	-0.37418	0.64586
ENSG00000132321	-0.51432	0.69649
ENSG00000144476	-0.085495	0.53407
ENSG00000198612	0.90255	0.18338
ENSG00000163359	0.26601	0.39511
ENSG00000115648	-0.65725	0.74449
ENSG00000071677	-1.4076	0.92038
ENSG00000124839	-0.046853	0.51868
ENSG00000124831	-0.33835	0.63245
ENSG00000177483	-2.0435	0.9795
ENSG00000132329	-0.32702	0.62817
ENSG00000184182	1.4404	0.074874
ENSG00000132330	1.7118	0.043467
ENSG00000144488	1.1316	0.1289
ENSG00000168427	-0.57119	0.71606
ENSG00000132323	-0.79094	0.78551
ENSG00000144485	-0.90243	0.81659
ENSG00000132326	-0.5964	0.72455
ENSG00000204104	2.3643	0.0090329
ENSG00000065802	0.2274	0.41006
ENSG00000068024	-0.26781	0.60558
ENSG00000130414	-1.8789	0.96987
ENSG00000182083	-0.47063	0.68105
ENSG00000178586	1.1988	0.11531
ENSG00000178602	-1.8925	0.97079
ENSG00000063660	-1.1674	0.87848
ENSG00000144504	0.4387	0.33044
ENSG00000188542	0.94979	0.17111
ENSG00000142327	0.94961	0.17116
ENSG00000142330	0.32388	0.37302
ENSG00000178623	0.0028956	0.49884
ENSG00000185176	-0.51369	0.69627
ENSG00000184945	-1.0669	0.85699
ENSG00000130294	0.92472	0.17755
ENSG00000172482	0.098192	0.46089
ENSG00000162804	-1.5926	0.94438
ENSG00000122085	-0.19165	0.57599
ENSG00000115687	-0.96551	0.83286
ENSG00000115685	-1.2553	0.89532
ENSG00000146205	0.15539	0.43826
ENSG00000115677	1.055	0.14572
ENSG00000006607	0.88588	0.18784
ENSG00000115694	-0.04339	0.5173
ENSG00000176720	0.36966	0.35582
ENSG00000176946	0.062324	0.47515
ENSG00000168397	-0.40941	0.65888
ENSG00000168393	0.6325	0.26353
ENSG00000168395	2.0463	0.020363
ENSG00000180902	1.3544	0.087803
ENSG00000154252	-1.5453	0.93886
ENSG00000204099	-1.1957	0.8841
ENSG00000188389	-1.2236	0.88944
ENSG00000188011	-0.4706	0.68104
ENSG00000134121	-0.32193	0.62625
ENSG00000134115	-0.69334	0.75595
ENSG00000144619	-1.7119	0.95654
ENSG00000091181	0.90061	0.1839
ENSG00000072756	0.37578	0.35354
ENSG00000113851	0.44046	0.3298
ENSG00000175928	0.40037	0.34444
ENSG00000170364	1.5344	0.06247
ENSG00000144455	2.4645	0.0068604
ENSG00000150995	2.6825	0.0036535
ENSG00000134107	1.7293	0.041878
ENSG00000134108	0.63195	0.26371
ENSG00000134109	0.17285	0.43139
ENSG00000196277	-1.1873	0.88245
ENSG00000071282	1.3508	0.088383
ENSG00000125046	-0.061414	0.52449
ENSG00000182533	-0.52936	0.70172
ENSG00000180914	1.3861	0.082861
ENSG00000070950	-0.61865	0.73193
ENSG00000196220	2.7582	0.0029058
ENSG00000134077	-0.27695	0.60909
ENSG00000168137	1.518	0.064502
ENSG00000156959	-0.25905	0.6022
ENSG00000163719	1.1214	0.13105
ENSG00000144550	0.77404	0.21945
ENSG00000156983	0.34949	0.36336
ENSG00000114026	0.33595	0.36846
ENSG00000134072	-0.046352	0.51849
ENSG00000171148	0.76304	0.22272
ENSG00000241553	0.80089	0.2116
ENSG00000250151	1.7497	0.040081
ENSG00000214021	1.9629	0.024828
ENSG00000156990	2.3156	0.01029
ENSG00000187288	-0.90465	0.81718
ENSG00000171135	-0.95298	0.8297
ENSG00000163701	0.046477	0.48146
ENSG00000163702	-1.6074	0.94602
ENSG00000163703	-2.2094	0.98643
ENSG00000163704	-1.1776	0.88053
ENSG00000125037	-1.0431	0.85154
ENSG00000144554	-2.355	0.99074
ENSG00000163705	-1.7233	0.95758
ENSG00000254999	-0.43024	0.66649
ENSG00000134086	0.12168	0.45157
ENSG00000134070	-0.49826	0.69085
ENSG00000157014	0.78306	0.2168
ENSG00000157017	1.2762	0.10095
ENSG00000157020	-0.0021421	0.50085
ENSG00000157087	0.29699	0.38324
ENSG00000132164	0.42851	0.33414
ENSG00000157103	0.13421	0.44662
ENSG00000196639	-0.31304	0.62288
ENSG00000197548	-0.72893	0.76698
ENSG00000144560	-0.4332	0.66756
ENSG00000144559	-1.3506	0.91159
ENSG00000157152	2.0335	0.021002
ENSG00000157150	2.0058	0.022437
ENSG00000132170	0.35158	0.36258
ENSG00000154743	0.45504	0.32454
ENSG00000225526	1.1334	0.12853
ENSG00000075975	0.65297	0.25689
ENSG00000132155	1.079	0.14029
ENSG00000088726	0.63686	0.26211
ENSG00000144712	-0.58578	0.72099
ENSG00000144713	-0.13059	0.55195
ENSG00000144711	1.2236	0.11056
ENSG00000132182	-1.5361	0.93774
ENSG00000163517	-0.80203	0.78873
ENSG00000163520	1.0046	0.15754
ENSG00000154764	2.3239	0.010065
ENSG00000163528	-0.48831	0.68733
ENSG00000170876	-0.067045	0.52673
ENSG00000154767	0.1133	0.4549
ENSG00000170860	0.50794	0.30575
ENSG00000131389	-0.092389	0.53681
ENSG00000144596	-0.31139	0.62225
ENSG00000154781	-0.21156	0.58377
ENSG00000131379	-0.59545	0.72423
ENSG00000154783	0.52868	0.29851
ENSG00000177463	0.24894	0.4017
ENSG00000131368	0.66771	0.25216
ENSG00000131381	-0.97353	0.83485
ENSG00000131375	1.0857	0.1388
ENSG00000131370	0.64268	0.26022
ENSG00000206562	-1.5013	0.93336
ENSG00000144597	-0.93208	0.82435
ENSG00000206561	0.89912	0.18429
ENSG00000131373	0.50473	0.30687
ENSG00000169814	0.87533	0.1907
ENSG00000206560	1.1958	0.11589
ENSG00000131386	1.1341	0.12838
ENSG00000154813	3.2719	0.00053413
ENSG00000154814	3.2425	0.00059239
ENSG00000131378	2.8952	0.0018947
ENSG00000092345	-1.7142	0.95675
ENSG00000154822	2.1267	0.016723
ENSG00000131374	-0.070715	0.52819
ENSG00000182568	0.22867	0.40956
ENSG00000183960	2.2379	0.012615
ENSG00000163576	1.1326	0.12869
ENSG00000144566	0.43167	0.33299
ENSG00000183977	0.24476	0.40332
ENSG00000114166	0.25802	0.3982
ENSG00000151789	-0.58439	0.72052
ENSG00000182247	-0.019674	0.50785
ENSG00000170142	0.45591	0.32423
ENSG00000197885	0.13737	0.44537
ENSG00000174748	0.34457	0.36521
ENSG00000174738	-0.57968	0.71894
ENSG00000151090	0.82385	0.20501
ENSG00000077092	-0.083924	0.53344
ENSG00000077097	0.7957	0.2131
ENSG00000151092	-0.66655	0.74747
ENSG00000151093	0.11983	0.45231
ENSG00000179796	-2.6125	0.99551
ENSG00000163491	1.0585	0.14492
ENSG00000033867	1.4477	0.073846
ENSG00000163508	5.6727	7.03E-09
ENSG00000187118	-0.38805	0.65101
ENSG00000163512	-1.8573	0.96837
ENSG00000206559	-1.7382	0.95891
ENSG00000144642	-1.8529	0.96805
ENSG00000163513	1.534	0.062514
ENSG00000144644	-0.7729	0.78021
ENSG00000163527	-1.6687	0.95242
ENSG00000144645	-1.0781	0.85952
ENSG00000197385	1.2025	0.11459
ENSG00000152642	0.39768	0.34543
ENSG00000170293	0.071353	0.47156
ENSG00000153551	1.3627	0.086481
ENSG00000091317	-1.0347	0.8496
ENSG00000144635	-1.2668	0.89738
ENSG00000182973	-0.9132	0.81943
ENSG00000206557	2.8889	0.0019328
ENSG00000183813	3.1654	0.00077448
ENSG00000170266	2.6792	0.00369
ENSG00000188167	2.6792	0.00369
ENSG00000170275	3.0737	0.0010571
ENSG00000173705	1.0847	0.13902
ENSG00000153558	-1.4884	0.93167
ENSG00000153560	-1.2043	0.88577
ENSG00000163539	-0.52084	0.69876
ENSG00000170248	-1.0039	0.8423
ENSG00000172995	-0.23179	0.59165
ENSG00000144681	1.3482	0.088792
ENSG00000163673	0.33107	0.3703
ENSG00000168016	-0.453	0.67472
ENSG00000178567	1.1727	0.12045
ENSG00000076242	0.86239	0.19424
ENSG00000093167	0.69367	0.24394
ENSG00000144674	0.35239	0.36227
ENSG00000144668	-0.19769	0.57836
ENSG00000144677	-0.26205	0.60336
ENSG00000136059	0.371	0.35532
ENSG00000187091	0.78571	0.21602
ENSG00000008226	1.1397	0.12721
ENSG00000060971	1.5599	0.059393
ENSG00000172936	1.5073	0.065868
ENSG00000172939	1.2016	0.11475
ENSG00000172940	2.3106	0.010426
ENSG00000144671	0.69951	0.24212
ENSG00000093217	-0.35918	0.64027
ENSG00000114739	-0.8403	0.79963
ENSG00000157036	-1.8005	0.96411
ENSG00000183873	0.70855	0.2393
ENSG00000185313	0.58681	0.27867
ENSG00000168356	2.865	0.0020853
ENSG00000114742	2.8323	0.0023105
ENSG00000114745	3.0412	0.0011783
ENSG00000168026	3.352	0.0004011
ENSG00000144655	3.0039	0.0013326
ENSG00000168334	0.63776	0.26182
ENSG00000168329	0.025757	0.48973
ENSG00000179934	-0.074953	0.52987
ENSG00000144659	-0.64718	0.74124
ENSG00000168028	-1.2208	0.88891
ENSG00000168314	-0.55144	0.70933
ENSG00000170011	0.035879	0.48569
ENSG00000114784	-0.61091	0.72937
ENSG00000168032	-0.74392	0.77154
ENSG00000188846	-1.3231	0.9071
ENSG00000177873	-0.64368	0.74011
ENSG00000177842	-0.17085	0.56783
ENSG00000172888	0.21819	0.41364
ENSG00000168036	-0.88406	0.81167
ENSG00000168038	-1.0371	0.85015
ENSG00000182606	0.38727	0.34928
ENSG00000187094	-1.9504	0.97443
ENSG00000157093	-0.37152	0.64487
ENSG00000114812	-0.62668	0.73457
ENSG00000093183	0.74826	0.22715
ENSG00000008324	0.69827	0.2425
ENSG00000114857	0.40904	0.34125
ENSG00000114853	0.42454	0.33559
ENSG00000157119	0.98108	0.16328
ENSG00000010282	0.62824	0.26492
ENSG00000244607	-0.13517	0.55376
ENSG00000181061	-0.32806	0.62857
ENSG00000144648	-2.4872	0.99356
ENSG00000180432	-0.45723	0.67625
ENSG00000182983	0.23473	0.40721
ENSG00000240747	-0.24657	0.59738
ENSG00000144647	-0.11522	0.54586
ENSG00000163788	-0.16901	0.5671
ENSG00000160746	0.50347	0.30732
ENSG00000011198	-1.3482	0.9112
ENSG00000173769	-1.7215	0.95742
ENSG00000179152	-1.0518	0.85355
ENSG00000185219	-2.7313	0.99685
ENSG00000178917	-0.72186	0.76481
ENSG00000196345	-1.631	0.94856
ENSG00000144792	-2.3267	0.99001
ENSG00000186448	-1.5667	0.94141
ENSG00000169981	-0.97876	0.83615
ENSG00000196653	-0.74287	0.77122
ENSG00000186446	-1.9163	0.97233
ENSG00000163807	-1.148	0.87451
ENSG00000163808	-1.5421	0.93848
ENSG00000169964	-1.275	0.89884
ENSG00000163810	-1.651	0.95063
ENSG00000163812	-1.2873	0.901
ENSG00000075914	-0.67632	0.75058
ENSG00000163815	-0.19861	0.57872
ENSG00000163814	-2.044	0.97953
ENSG00000249992	-0.80148	0.78857
ENSG00000011376	0.42129	0.33677
ENSG00000144791	2.2398	0.012552
ENSG00000211456	2.0877	0.018414
ENSG00000163817	0.30314	0.38089
ENSG00000163818	2.3607	0.0091191
ENSG00000173585	1.924	0.027176
ENSG00000163820	1.6525	0.049217
ENSG00000172215	1.3842	0.083154
ENSG00000173578	2.6147	0.0044648
ENSG00000163823	1.2065	0.11382
ENSG00000183625	-0.84302	0.80039
ENSG00000121807	0.67281	0.25053
ENSG00000160791	0.595	0.27592
ENSG00000121797	-0.06775	0.52701
ENSG00000012223	-0.4363	0.66869
ENSG00000163825	-1.783	0.9627
ENSG00000163827	-0.057275	0.52284
ENSG00000241186	0.37633	0.35334
ENSG00000178038	1.0731	0.14161
ENSG00000181585	1.4831	0.069021
ENSG00000283706	1.8612	0.031355
ENSG00000160808	-0.90606	0.81755
ENSG00000160801	2.92	0.0017502
ENSG00000160799	3.8061	7.06E-05
ENSG00000160796	3.6451	0.00013365
ENSG00000181555	3.8251	6.54E-05
ENSG00000088727	3.7509	8.81E-05
ENSG00000114648	3.6231	0.00014555
ENSG00000076201	3.0702	0.0010695
ENSG00000114650	3.2893	0.00050222
ENSG00000163832	3.277	0.00052466
ENSG00000114646	0.2231	0.41173
ENSG00000173473	0.30613	0.37975
ENSG00000132153	-1.1003	0.8644
ENSG00000047849	-0.094522	0.53765
ENSG00000164045	2.639	0.0041577
ENSG00000164047	1.9719	0.024309
ENSG00000164048	1.8652	0.031079
ENSG00000172113	1.0761	0.14095
ENSG00000229453	1.5193	0.06434
ENSG00000164049	2.5707	0.005075
ENSG00000164050	2.8273	0.0023473
ENSG00000164051	2.8049	0.0025166
ENSG00000232112	2.5535	0.0053321
ENSG00000164053	2.6764	0.0037211
ENSG00000213689	2.5495	0.0053943
ENSG00000114268	1.9345	0.026528
ENSG00000145040	1.598	0.05502
ENSG00000114270	1.4532	0.073088
ENSG00000010256	1.2162	0.11195
ENSG00000183396	-0.89095	0.81352
ENSG00000225697	-0.55857	0.71177
ENSG00000008300	0.1872	0.42575
ENSG00000213672	0.78043	0.21757
ENSG00000068745	0.86412	0.19376
ENSG00000114302	1.1213	0.13109
ENSG00000178537	1.0276	0.15208
ENSG00000221883	1.0926	0.13729
ENSG00000177479	0.87431	0.19098
ENSG00000178467	1.1371	0.12776
ENSG00000178252	1.4723	0.070465
ENSG00000178149	1.5633	0.058992
ENSG00000178057	1.4983	0.067022
ENSG00000178035	1.4203	0.077759
ENSG00000198218	1.0929	0.13722
ENSG00000172046	0.75341	0.2256
ENSG00000172037	0.58374	0.2797
ENSG00000177352	0.36996	0.35571
ENSG00000185909	0.92137	0.17843
ENSG00000236980	0.89807	0.18457
ENSG00000188315	1.1332	0.12856
ENSG00000114316	1.2465	0.1063
ENSG00000233276	0.7471	0.2275
ENSG00000067560	0.58425	0.27953
ENSG00000145022	0.67766	0.24899
ENSG00000145020	0.60945	0.27111
ENSG00000145029	0.6284	0.26487
ENSG00000173402	0.95412	0.17001
ENSG00000164061	-0.15655	0.5622
ENSG00000164062	-0.27599	0.60872
ENSG00000173531	-0.8723	0.80848
ENSG00000164068	-0.047443	0.51892
ENSG00000176020	0.36175	0.35877
ENSG00000173540	0.46715	0.3202
ENSG00000176095	0.69266	0.24426
ENSG00000187492	0.55001	0.29116
ENSG00000182179	0.93977	0.17367
