GENE_ID	GENE_NAME	GENE_DESCRIPTION	EXPR WT O T3	baseMean	log2FoldChange	lfcSE	stat	FC	pvalue	padj
ENSMUSG00000035284	Vps13c	vacuolar protein sorting 13C 	2	4982.88	0.11	0.07	1.59	1.08	0.11072	0.56313
ENSMUSG00000044716	Dok7	docking protein 7 	2	562.46	0.26	0.17	1.59	1.2	0.11116	0.56368
ENSMUSG00000054737	Zfp182	zinc finger protein 182 	2	614.45	-0.21	0.13	-1.59	0.87	0.11127	0.56372
ENSMUSG00000009216	Fam163b	family with sequence similarity 163, member B 	2	2868.45	-0.13	0.08	-1.59	0.92	0.11123	0.56372
ENSMUSG00000113149	Gm49383	predicted gene, 49383 	2	100.12	-0.34	0.21	-1.59	0.79	0.11149	0.56413
ENSMUSG00000032985	5730522E02Rik	RIKEN cDNA 5730522E02 gene 	2	115.72	-0.27	0.17	-1.59	0.83	0.11157	0.56413
ENSMUSG00000042761	Mrap2	melanocortin 2 receptor accessory protein 2 	2	210.37	0.52	0.33	1.59	1.43	0.11157	0.56413
ENSMUSG00000001441	Npepps	aminopeptidase puromycin sensitive 	2	7142.6	0.09	0.06	1.59	1.07	0.11143	0.56413
ENSMUSG00000006575	Rundc3a	RUN domain containing 3A 	2	8599.79	0.12	0.08	1.59	1.09	0.11139	0.56413
ENSMUSG00000028649	Macf1	microtubule-actin crosslinking factor 1 	2	27075.37	0.07	0.04	1.59	1.05	0.11159	0.56413
ENSMUSG00000084064	Gm12079	predicted gene 12079 	2	36.59	-0.49	0.31	-1.59	0.71	0.11179	0.56441
ENSMUSG00000041842	Fhdc1	FH2 domain containing 1 	2	195.41	0.2	0.13	1.59	1.15	0.11169	0.56441
ENSMUSG00000022935	Grik1	glutamate receptor, ionotropic, kainate 1 	2	253.13	0.58	0.36	1.59	1.49	0.11185	0.56441
ENSMUSG00000022912	Pros1	protein S (alpha) 	2	545.91	0.19	0.12	1.59	1.14	0.11172	0.56441
ENSMUSG00000022983	Scaf4	SR-related CTD-associated factor 4 	2	1603.12	0.13	0.08	1.59	1.1	0.11182	0.56441
ENSMUSG00000005510	Ndufs3	NADH:ubiquinone oxidoreductase core subunit S3 	2	3747.33	-0.14	0.09	-1.59	0.91	0.11184	0.56441
ENSMUSG00000113022	Gm9544	predicted gene 9544 	2	28.92	-0.48	0.3	-1.59	0.72	0.11234	0.56472
ENSMUSG00000044122	Proca1	protein interacting with cyclin A1 	2	90.81	0.34	0.21	1.59	1.26	0.11233	0.56472
ENSMUSG00000037984	Neurod6	neurogenic differentiation 6 	2	125.99	-1.52	0.95	-1.59	0.35	0.11222	0.56472
ENSMUSG00000062794	Zfp599	zinc finger protein 599 	2	223.93	-0.2	0.13	-1.59	0.87	0.11215	0.56472
ENSMUSG00000025758	Plk4	polo like kinase 4 	2	229.61	-0.31	0.19	-1.59	0.81	0.11204	0.56472
ENSMUSG00000042380	Smim12	small integral membrane protein 12 	2	840.19	0.11	0.07	1.59	1.08	0.11221	0.56472
ENSMUSG00000030737	Slco2b1	solute carrier organic anion transporter family, member 2b1 	2	1160.08	0.24	0.15	1.59	1.18	0.11208	0.56472
ENSMUSG00000018167	Stard3	START domain containing 3 	2	1485.25	0.12	0.07	1.59	1.08	0.11236	0.56472
ENSMUSG00000040648	Ppip5k2	diphosphoinositol pentakisphosphate kinase 2 	2	1642.86	-0.13	0.08	-1.59	0.92	0.11233	0.56472
ENSMUSG00000074797	Itpa	inosine triphosphatase (nucleoside triphosphate pyrophosphatase) 	2	1658.36	-0.15	0.09	-1.59	0.9	0.11211	0.56472
ENSMUSG00000027678	Ncoa3	nuclear receptor coactivator 3 	2	2614.64	0.16	0.1	1.59	1.12	0.11239	0.56472
ENSMUSG00000019699	Akt3	thymoma viral proto-oncogene 3 	2	5685.27	0.23	0.14	1.59	1.17	0.11212	0.56472
ENSMUSG00000021395	Spin1	spindlin 1 	2	7913.81	0.06	0.04	1.59	1.05	0.11217	0.56472
ENSMUSG00000045098	Kmt5b	lysine methyltransferase 5B 	2	2574.79	-0.13	0.08	-1.59	0.91	0.11244	0.56477
ENSMUSG00000051238	Swsap1	SWIM type zinc finger 7 associated protein 1 	2	406.18	0.14	0.09	1.59	1.1	0.11255	0.56516
ENSMUSG00000021948	Prkcd	protein kinase C, delta 	2	628.68	0.28	0.17	1.59	1.21	0.1127	0.56559
ENSMUSG00000027459	Fam110a	family with sequence similarity 110, member A 	2	166.72	0.23	0.14	1.59	1.17	0.11274	0.56559
ENSMUSG00000045575	Vmn1r233	vomeronasal 1 receptor 233 	2	53.9	-0.38	0.24	-1.58	0.77	0.11306	0.56604
ENSMUSG00000022512	Cldn1	claudin 1 	2	101.34	-0.71	0.45	-1.58	0.61	0.113	0.56604
ENSMUSG00000094649	Gm7102	predicted gene 7102 	2	118.73	-0.28	0.18	-1.58	0.82	0.11307	0.56604
ENSMUSG00000037152	Ndufc1	NADH:ubiquinone oxidoreductase subunit C1 	2	1068.54	0.11	0.07	1.59	1.08	0.11288	0.56604
ENSMUSG00000024325	Ring1	ring finger protein 1 	2	1307.08	0.12	0.07	1.59	1.08	0.1129	0.56604
ENSMUSG00000057147	Dph6	diphthamine biosynthesis 6 	2	1260.78	-0.14	0.09	-1.58	0.91	0.11307	0.56604
ENSMUSG00000073758	Sh3d21	SH3 domain containing 21 	2	75.76	-0.36	0.23	-1.58	0.78	0.11324	0.56614
ENSMUSG00000032942	Ucp3	uncoupling protein 3 (mitochondrial, proton carrier) 	2	116.08	0.36	0.23	1.58	1.28	0.11324	0.56614
ENSMUSG00000073565	Prr16	proline rich 16 	2	123.88	0.38	0.24	1.58	1.3	0.1133	0.56614
ENSMUSG00000038225	Primpol	primase and polymerase (DNA-directed) 	2	244.35	0.38	0.24	1.58	1.3	0.11333	0.56614
ENSMUSG00000020895	Tmem107	transmembrane protein 107 	2	260.66	-0.19	0.12	-1.58	0.87	0.11336	0.56614
ENSMUSG00000015224	Cyp2j9	cytochrome P450, family 2, subfamily j, polypeptide 9 	2	1014.1	0.16	0.1	1.58	1.12	0.11342	0.56614
ENSMUSG00000029482	Aacs	acetoacetyl-CoA synthetase 	2	1090.43	-0.68	0.43	-1.58	0.62	0.11342	0.56614
ENSMUSG00000028437	Ubap1	ubiquitin-associated protein 1 	2	1807.87	0.14	0.09	1.58	1.1	0.11318	0.56614
ENSMUSG00000020598	Nrcam	neuronal cell adhesion molecule 	2	10731.71	-0.08	0.05	-1.58	0.95	0.11336	0.56614
ENSMUSG00000049775	Tmsb4x	thymosin, beta 4, X chromosome 	2	11992.75	-0.08	0.05	-1.58	0.95	0.11344	0.56614
ENSMUSG00000011305	Plin5	perilipin 5 	2	28.19	-0.62	0.39	-1.58	0.65	0.11358	0.56623
ENSMUSG00000035681	Kcnc2	potassium voltage gated channel, Shaw-related subfamily, member 2 	2	1152.72	0.42	0.26	1.58	1.34	0.11359	0.56623
ENSMUSG00000019782	Rwdd1	RWD domain containing 1 	2	942.16	-0.2	0.13	-1.58	0.87	0.11357	0.56623
ENSMUSG00000034891	Sncb	synuclein, beta 	2	3677.44	0.22	0.14	1.58	1.17	0.11357	0.56623
ENSMUSG00000031399	Fam3a	family with sequence similarity 3, member A 	2	644.54	-0.15	0.1	-1.58	0.9	0.11372	0.5667
ENSMUSG00000026956	Uap1l1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1 	2	352.94	-0.2	0.13	-1.58	0.87	0.11381	0.56672
ENSMUSG00000032418	Me1	malic enzyme 1, NADP(+)-dependent, cytosolic 	2	1270.15	0.11	0.07	1.58	1.08	0.11386	0.56672
ENSMUSG00000000555	Itga5	integrin alpha 5 (fibronectin receptor alpha) 	2	1874.17	0.19	0.12	1.58	1.14	0.1138	0.56672
ENSMUSG00000031214	Ophn1	oligophrenin 1 	2	2302.65	-0.12	0.08	-1.58	0.92	0.11383	0.56672
ENSMUSG00000069114	Zbtb10	zinc finger and BTB domain containing 10 	2	536.15	-0.13	0.08	-1.58	0.91	0.11407	0.56756
ENSMUSG00000021391	Cenpp	centromere protein P 	2	33.19	-0.48	0.31	-1.58	0.72	0.11433	0.56838
ENSMUSG00000074865	Zfp934	zinc finger protein 934 	2	518.2	-0.16	0.1	-1.58	0.9	0.11433	0.56838
ENSMUSG00000048483	Zdhhc22	zinc finger, DHHC-type containing 22 	2	710.28	0.29	0.18	1.58	1.22	0.11432	0.56838
ENSMUSG00000024829	Mrpl21	mitochondrial ribosomal protein L21 	2	612.56	-0.18	0.11	-1.58	0.88	0.11445	0.56879
ENSMUSG00000035458	Tnni3	troponin I, cardiac 3 	2	48.96	-0.41	0.26	-1.58	0.75	0.11452	0.56896
ENSMUSG00000044948	Cfap43	cilia and flagella associated protein 43 	2	157.65	-0.52	0.33	-1.58	0.7	0.11463	0.56906
ENSMUSG00000015112	Slc25a13	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 	2	175.78	-0.23	0.15	-1.58	0.85	0.11472	0.56906
ENSMUSG00000028578	Caap1	caspase activity and apoptosis inhibitor 1 	2	210.85	0.21	0.14	1.58	1.16	0.1147	0.56906
ENSMUSG00000041777	Cir1	corepressor interacting with RBPJ, 1 	2	1150.69	-0.11	0.07	-1.58	0.93	0.11462	0.56906
ENSMUSG00000026748	Plxdc2	plexin domain containing 2 	2	1807.12	-0.1	0.06	-1.58	0.93	0.11475	0.56906
ENSMUSG00000092035	Peg10	paternally expressed 10 	2	2664.77	0.69	0.44	1.58	1.61	0.11484	0.56934
ENSMUSG00000021036	Sptlc2	serine palmitoyltransferase, long chain base subunit 2 	2	1457.11	0.15	0.1	1.58	1.11	0.11492	0.56939
ENSMUSG00000028284	Map3k7	mitogen-activated protein kinase kinase kinase 7 	2	2776.26	0.13	0.08	1.58	1.09	0.11492	0.56939
ENSMUSG00000033629	Hacd3	3-hydroxyacyl-CoA dehydratase 3 	2	5925.73	0.09	0.06	1.58	1.07	0.11499	0.56954
ENSMUSG00000031146	Plp2	proteolipid protein 2 	2	102.73	-0.32	0.2	-1.58	0.8	0.11522	0.57035
ENSMUSG00000043832	Clec4a3	C-type lectin domain family 4, member a3 	2	39.24	-0.51	0.32	-1.57	0.7	0.1157	0.57044
ENSMUSG00000030745	Il21r	interleukin 21 receptor 	2	92.07	0.3	0.19	1.57	1.23	0.1155	0.57044
ENSMUSG00000067724	Gbx1	gastrulation brain homeobox 1 	2	150.41	0.59	0.37	1.57	1.5	0.11551	0.57044
ENSMUSG00000049630	C1ql3	C1q-like 3 	2	165.1	-0.64	0.41	-1.57	0.64	0.11574	0.57044
ENSMUSG00000056116	H2-T22	histocompatibility 2, T region locus 22 	2	592.36	0.19	0.12	1.57	1.14	0.11542	0.57044
ENSMUSG00000033061	Resp18	regulated endocrine-specific protein 18 	2	859.79	0.69	0.44	1.57	1.61	0.11571	0.57044
ENSMUSG00000032193	Ldlr	low density lipoprotein receptor 	2	751.94	-0.28	0.18	-1.57	0.83	0.11537	0.57044
ENSMUSG00000020876	Snx11	sorting nexin 11 	2	1249.6	-0.11	0.07	-1.57	0.93	0.11576	0.57044
ENSMUSG00000028565	Nfia	nuclear factor I/A 	2	1290.24	-0.14	0.09	-1.57	0.91	0.11533	0.57044
ENSMUSG00000063904	Dpp3	dipeptidylpeptidase 3 	2	1487.51	0.12	0.08	1.57	1.09	0.11569	0.57044
ENSMUSG00000026563	Tada1	transcriptional adaptor 1 	2	1587.5	-0.1	0.06	-1.57	0.93	0.11534	0.57044
ENSMUSG00000002957	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit 	2	6573.1	0.09	0.05	1.57	1.06	0.11558	0.57044
ENSMUSG00000039621	Prex1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1 	2	6824.71	0.18	0.11	1.57	1.13	0.11543	0.57044
ENSMUSG00000041729	Coro2b	coronin, actin binding protein, 2B 	2	10020.04	-0.14	0.09	-1.57	0.91	0.11574	0.57044
ENSMUSG00000033392	Clasp2	CLIP associating protein 2 	2	12277.65	0.06	0.04	1.57	1.04	0.11553	0.57044
ENSMUSG00000034032	Rpap1	RNA polymerase II associated protein 1 	2	1263.13	0.13	0.08	1.57	1.09	0.11587	0.57063
ENSMUSG00000022205	Sub1	SUB1 homolog, transcriptional regulator 	2	6609.87	-0.1	0.06	-1.57	0.93	0.11585	0.57063
ENSMUSG00000048440	Cyp4f16	cytochrome P450, family 4, subfamily f, polypeptide 16 	2	181.57	-0.35	0.22	-1.57	0.79	0.116	0.57101
ENSMUSG00000046324	Ermp1	endoplasmic reticulum metallopeptidase 1 	2	3017.39	-0.12	0.07	-1.57	0.92	0.11601	0.57101
ENSMUSG00000031072	LTO1	ABCE maturation factor 	2	591.39	0.11	0.07	1.57	1.08	0.11606	0.57102
ENSMUSG00000070348	Ccnd1	cyclin D1 	2	1043.86	0.21	0.13	1.57	1.15	0.11612	0.57102
ENSMUSG00000024193	Phf1	PHD finger protein 1 	2	1667.33	0.1	0.06	1.57	1.07	0.1161	0.57102
ENSMUSG00000015943	Bola1	bolA-like 1 (E. coli) 	2	222.63	0.25	0.16	1.57	1.19	0.11625	0.57112
ENSMUSG00000038517	Tbkbp1	TBK1 binding protein 1 	2	1189.13	0.2	0.13	1.57	1.15	0.11622	0.57112
ENSMUSG00000058388	Phtf1	putative homeodomain transcription factor 1 	2	1960.84	-0.15	0.09	-1.57	0.9	0.11628	0.57112
ENSMUSG00000022641	Bbx	bobby sox HMG box containing 	2	2257.72	-0.09	0.06	-1.57	0.94	0.11626	0.57112
ENSMUSG00000027692	Tnik	TRAF2 and NCK interacting kinase 	2	12422.53	-0.13	0.09	-1.57	0.91	0.11641	0.57158
ENSMUSG00000030747	Dgat2	diacylglycerol O-acyltransferase 2 	2	4387.23	-0.11	0.07	-1.57	0.93	0.1165	0.57187
ENSMUSG00000096433	Zfp994	zinc finger protein 994 	2	424.87	-0.2	0.13	-1.57	0.87	0.11659	0.57215
ENSMUSG00000025578	Cbx8	chromobox 8 	2	401.09	-0.21	0.14	-1.57	0.86	0.11667	0.5723
ENSMUSG00000058446	Znrf2	zinc and ring finger 2 	2	575.74	0.18	0.12	1.57	1.13	0.1168	0.5723
ENSMUSG00000063698	Sfxn4	sideroflexin 4 	2	797.56	-0.11	0.07	-1.57	0.93	0.11674	0.5723
ENSMUSG00000018217	Pmp22	peripheral myelin protein 22 	2	884.03	-0.21	0.14	-1.57	0.86	0.1168	0.5723
ENSMUSG00000046962	Zbtb21	zinc finger and BTB domain containing 21 	2	1046.02	-0.22	0.14	-1.57	0.86	0.11679	0.5723
ENSMUSG00000026544	Dusp23	dual specificity phosphatase 23 	2	82.49	0.31	0.2	1.57	1.24	0.11708	0.57267
ENSMUSG00000024816	Frmd8	FERM domain containing 8 	2	1465.59	-0.16	0.1	-1.57	0.9	0.11705	0.57267
ENSMUSG00000020720	Psmd12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12 	2	2051.49	0.11	0.07	1.57	1.08	0.11704	0.57267
ENSMUSG00000030741	Spns1	spinster homolog 1 	2	2539.87	-0.1	0.06	-1.57	0.94	0.11712	0.57267
ENSMUSG00000101188	Eif4a-ps4	eukaryotic translation initiation factor 4A, pseudogene 4 	2	2491.67	-0.16	0.1	-1.57	0.9	0.11706	0.57267
ENSMUSG00000020385	Clk4	CDC like kinase 4 	2	3347.37	-0.14	0.09	-1.57	0.91	0.11712	0.57267
ENSMUSG00000032280	Tle3	transducin-like enhancer of split 3 	2	937.04	-0.25	0.16	-1.57	0.84	0.1172	0.57277
ENSMUSG00000025037	Maoa	monoamine oxidase A 	2	1484.53	-0.13	0.08	-1.57	0.91	0.11721	0.57277
ENSMUSG00000001098	Kctd10	potassium channel tetramerisation domain containing 10 	2	2015.5	0.09	0.05	1.57	1.06	0.11736	0.57319
ENSMUSG00000096795	Zfp433	zinc finger protein 433 	2	217.68	-0.33	0.21	-1.57	0.8	0.11751	0.57368
ENSMUSG00000020576	Nbas	neuroblastoma amplified sequence 	2	2471.05	-0.11	0.07	-1.57	0.93	0.11754	0.57368
ENSMUSG00000044024	Rell2	RELT-like 2 	2	2966.3	0.14	0.09	1.56	1.1	0.11766	0.57413
ENSMUSG00000036106	Prr5	proline rich 5 (renal) 	2	165.77	0.24	0.16	1.56	1.18	0.11776	0.57437
ENSMUSG00000024222	Fkbp5	FK506 binding protein 5 	2	1836.59	0.13	0.08	1.56	1.1	0.11778	0.57437
ENSMUSG00000036752	Tubb4b	tubulin, beta 4B class IVB 	2	5892.36	0.09	0.06	1.56	1.07	0.11782	0.57438
ENSMUSG00000033365	Ipo13	importin 13 	2	4779.6	-0.09	0.06	-1.56	0.94	0.11786	0.57439
ENSMUSG00000029103	Lrpap1	low density lipoprotein receptor-related protein associated protein 1 	2	7096.48	0.07	0.04	1.56	1.05	0.11789	0.57439
ENSMUSG00000049164	Zfp518a	zinc finger protein 518A 	2	624.15	-0.23	0.15	-1.56	0.85	0.11795	0.57451
ENSMUSG00000005078	Jkamp	JNK1/MAPK8-associated membrane protein 	2	1473.84	0.12	0.07	1.56	1.08	0.11801	0.57451
ENSMUSG00000103793	Pcdhga6	protocadherin gamma subfamily A, 6 	2	1503.65	-0.18	0.11	-1.56	0.88	0.11806	0.57451
ENSMUSG00000066640	Fbxl18	F-box and leucine-rich repeat protein 18 	2	2255.98	0.09	0.06	1.56	1.07	0.11802	0.57451
ENSMUSG00000024082	Ndufaf7	NADH:ubiquinone oxidoreductase complex assembly factor 7 	2	1352.72	0.09	0.06	1.56	1.07	0.11811	0.57461
ENSMUSG00000046410	Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6 	2	168.86	0.21	0.13	1.56	1.15	0.11827	0.57472
ENSMUSG00000067818	Myl9	myosin, light polypeptide 9, regulatory 	2	484.3	-0.27	0.18	-1.56	0.83	0.11826	0.57472
ENSMUSG00000014077	Chp1	calcineurin-like EF hand protein 1 	2	4098.09	0.09	0.06	1.56	1.06	0.11827	0.57472
ENSMUSG00000067148	Polr1c	polymerase (RNA) I polypeptide C 	2	645.96	0.14	0.09	1.56	1.11	0.11838	0.57489
ENSMUSG00000024587	Nars	asparaginyl-tRNA synthetase 	2	5970.6	0.1	0.06	1.56	1.07	0.11836	0.57489
ENSMUSG00000071847	Apcdd1	adenomatosis polyposis coli down-regulated 1 	2	1098.21	0.18	0.12	1.56	1.13	0.11861	0.57568
ENSMUSG00000037921	Ddx60	DExD/H box helicase 60 	2	60.43	0.66	0.42	1.56	1.58	0.11877	0.57576
ENSMUSG00000048921	Zfp689	zinc finger protein 689 	2	271.17	0.22	0.14	1.56	1.17	0.11874	0.57576
ENSMUSG00000028655	Mfsd2a	major facilitator superfamily domain containing 2A 	2	710.14	0.19	0.12	1.56	1.14	0.1187	0.57576
ENSMUSG00000052296	Ppp6r1	protein phosphatase 6, regulatory subunit 1 	2	8287.83	0.09	0.06	1.56	1.06	0.11876	0.57576
ENSMUSG00000022996	Wnt10b	wingless-type MMTV integration site family, member 10B 	2	67.37	0.32	0.2	1.56	1.25	0.11901	0.57674
ENSMUSG00000039748	Exo1	exonuclease 1 	2	56.97	-0.92	0.59	-1.56	0.53	0.11905	0.57677
ENSMUSG00000020477	Mrps24	mitochondrial ribosomal protein S24 	2	437.61	0.19	0.12	1.56	1.14	0.11912	0.57694
ENSMUSG00000042489	Clspn	claspin 	2	1204.14	-0.3	0.2	-1.56	0.81	0.1192	0.57715
ENSMUSG00000082908	Gm13736	predicted gene 13736 	2	36.61	0.54	0.35	1.56	1.45	0.11951	0.57747
ENSMUSG00000057722	Lepr	leptin receptor 	2	110.39	0.91	0.58	1.56	1.87	0.11947	0.57747
ENSMUSG00000067594	Krt77	keratin 77 	2	263.78	-0.46	0.29	-1.56	0.73	0.1194	0.57747
ENSMUSG00000051950	B3glct	beta-3-glucosyltransferase 	2	536.42	-0.21	0.14	-1.56	0.86	0.11934	0.57747
ENSMUSG00000028868	Wasf2	WASP family, member 2 	2	1374.84	-0.15	0.1	-1.56	0.9	0.11948	0.57747
ENSMUSG00000059729	Olfr1385	olfactory receptor 1385 	2	1755.34	-0.09	0.06	-1.56	0.94	0.11941	0.57747
ENSMUSG00000035547	Capn5	calpain 5 	2	1215.41	0.16	0.1	1.56	1.12	0.11991	0.57906
ENSMUSG00000037664	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57) 	2	113.72	-0.57	0.37	-1.55	0.67	0.12024	0.57911
ENSMUSG00000031290	Lrch2	leucine-rich repeats and calponin homology (CH) domain containing 2 	2	1156.29	-0.13	0.08	-1.55	0.91	0.1202	0.57911
ENSMUSG00000047554	Tmem41b	transmembrane protein 41B 	2	1423.77	0.1	0.07	1.55	1.07	0.12011	0.57911
ENSMUSG00000044857	Lemd2	LEM domain containing 2 	2	1544.84	0.2	0.13	1.55	1.15	0.12005	0.57911
ENSMUSG00000022556	Hsf1	heat shock factor 1 	2	1815.03	0.12	0.08	1.55	1.09	0.12005	0.57911
ENSMUSG00000027122	Arl14ep	ADP-ribosylation factor-like 14 effector protein 	2	1810.59	-0.09	0.06	-1.55	0.94	0.12019	0.57911
ENSMUSG00000032890	Rims3	regulating synaptic membrane exocytosis 3 	2	4575.78	0.24	0.15	1.55	1.18	0.12012	0.57911
ENSMUSG00000058672	Tubb2a	tubulin, beta 2A class IIA 	2	9406.64	0.18	0.11	1.55	1.13	0.12005	0.57911
ENSMUSG00000040749	Siah1b	siah E3 ubiquitin protein ligase 1B 	2	164.31	-0.26	0.17	-1.55	0.83	0.12058	0.58026
ENSMUSG00000046691	Chtf8	CTF8, chromosome transmission fidelity factor 8 	2	1687.53	0.23	0.15	1.55	1.17	0.12055	0.58026
ENSMUSG00000020689	Itgb3	integrin beta 3 	2	106.77	-0.26	0.17	-1.55	0.84	0.12067	0.58052
ENSMUSG00000072066	6720489N17Rik	RIKEN cDNA 6720489N17 gene 	2	164.94	-0.22	0.14	-1.55	0.86	0.12077	0.58067
ENSMUSG00000021764	Ndufs4	NADH:ubiquinone oxidoreductase core subunit S4 	2	2366.73	-0.08	0.05	-1.55	0.94	0.12081	0.58067
ENSMUSG00000038530	Rgs4	regulator of G-protein signaling 4 	2	42394.93	0.16	0.1	1.55	1.12	0.12078	0.58067
ENSMUSG00000047238	Mageh1	MAGE family member H1 	2	889.22	0.11	0.07	1.55	1.08	0.1209	0.58094
ENSMUSG00000046807	Lrrc75b	leucine rich repeat containing 75B 	2	778.77	0.2	0.13	1.55	1.15	0.12101	0.58096
ENSMUSG00000056851	Pcbp2	poly(rC) binding protein 2 	2	8024.97	-0.07	0.05	-1.55	0.95	0.12102	0.58096
ENSMUSG00000041459	Tardbp	TAR DNA binding protein 	2	9610.66	-0.08	0.05	-1.55	0.95	0.12103	0.58096
ENSMUSG00000038775	Vill	villin-like 	2	172.34	0.49	0.32	1.55	1.41	0.12114	0.58113
ENSMUSG00000020042	Btbd11	BTB (POZ) domain containing 11 	2	443.96	0.53	0.34	1.55	1.45	0.12117	0.58113
ENSMUSG00000001467	Cyp51	cytochrome P450, family 51 	2	1957.5	-0.19	0.12	-1.55	0.88	0.12119	0.58113
ENSMUSG00000062563	Cys1	cystin 1 	2	182	0.33	0.21	1.55	1.26	0.12124	0.58121
ENSMUSG00000021427	Ssr1	signal sequence receptor, alpha 	2	5509.69	0.12	0.08	1.55	1.09	0.12135	0.58139
ENSMUSG00000064220	H2ac18	H2A clustered histone 18 	2	300.73	0.32	0.21	1.55	1.25	0.12145	0.5815
ENSMUSG00000035642	Aamdc	adipogenesis associated Mth938 domain containing 	2	681.88	0.14	0.09	1.55	1.1	0.12147	0.5815
ENSMUSG00000042790	Rnf214	ring finger protein 214 	2	2355.65	-0.13	0.08	-1.55	0.92	0.12148	0.5815
ENSMUSG00000051736	Fam229b	family with sequence similarity 229, member B 	2	563.71	-0.17	0.11	-1.55	0.89	0.12152	0.58154
ENSMUSG00000037353	Letmd1	LETM1 domain containing 1 	2	1942.64	-0.08	0.05	-1.55	0.94	0.12157	0.58163
ENSMUSG00000074863	Platr25	pluripotency associated transcript 25 	2	373.09	-0.2	0.13	-1.55	0.87	0.12166	0.58185
ENSMUSG00000040451	Sgms1	sphingomyelin synthase 1 	2	1433.06	-0.14	0.09	-1.55	0.91	0.12175	0.58203
ENSMUSG00000021037	Ahsa1	AHA1, activator of heat shock protein ATPase 1 	2	4057.64	0.14	0.09	1.55	1.11	0.12177	0.58203
ENSMUSG00000009739	Pou6f1	POU domain, class 6, transcription factor 1 	2	4588.42	-0.07	0.05	-1.55	0.95	0.1218	0.58204
ENSMUSG00000091003	Gm7244	predicted gene 7244 	2	54.71	-0.42	0.27	-1.55	0.75	0.12184	0.58205
ENSMUSG00000057654	Olfr328	olfactory receptor 328 	2	81.78	-0.31	0.2	-1.55	0.81	0.12208	0.58305
ENSMUSG00000040146	Rgl3	ral guanine nucleotide dissociation stimulator-like 3 	2	180	0.3	0.2	1.54	1.24	0.12235	0.58337
ENSMUSG00000033149	Phldb2	pleckstrin homology like domain, family B, member 2 	2	311.92	0.3	0.19	1.55	1.23	0.1223	0.58337
ENSMUSG00000035443	Thyn1	thymocyte nuclear protein 1 	2	998.48	-0.09	0.06	-1.54	0.94	0.12239	0.58337
ENSMUSG00000034055	Phka1	phosphorylase kinase alpha 1 	2	1315.82	0.18	0.11	1.54	1.13	0.12235	0.58337
ENSMUSG00000026657	Frmd4a	FERM domain containing 4A 	2	2362.15	-0.23	0.15	-1.54	0.85	0.12235	0.58337
ENSMUSG00000025786	Zdhhc3	zinc finger, DHHC domain containing 3 	2	2701.51	0.07	0.05	1.54	1.05	0.1224	0.58337
ENSMUSG00000046709	Mapk10	mitogen-activated protein kinase 10 	2	8449.75	0.09	0.06	1.55	1.07	0.12234	0.58337
ENSMUSG00000048310	Pskh1	protein serine kinase H1 	2	500.67	-0.14	0.09	-1.54	0.91	0.12247	0.58355
ENSMUSG00000042213	Zfand4	zinc finger, AN1-type domain 4 	2	171.68	-0.44	0.29	-1.54	0.74	0.12281	0.58431
ENSMUSG00000021258	Ccnk	cyclin K 	2	1347.6	0.13	0.08	1.54	1.09	0.12276	0.58431
ENSMUSG00000032224	Fam81a	family with sequence similarity 81, member A 	2	1413.89	-0.28	0.18	-1.54	0.83	0.12272	0.58431
ENSMUSG00000021610	Clptm1l	CLPTM1-like 	2	3801.68	-0.09	0.06	-1.54	0.94	0.1228	0.58431
ENSMUSG00000033170	Card10	caspase recruitment domain family, member 10 	2	261.95	0.18	0.11	1.54	1.13	0.12313	0.58444
ENSMUSG00000043439	Epop	elongin BC and polycomb repressive complex 2 associated protein 	2	321.66	-0.24	0.15	-1.54	0.85	0.12309	0.58444
ENSMUSG00000037262	Kin	Kin17 DNA and RNA binding protein 	2	356.83	-0.17	0.11	-1.54	0.89	0.12299	0.58444
ENSMUSG00000028476	Reck	reversion-inducing-cysteine-rich protein with kazal motifs 	2	746.44	0.22	0.14	1.54	1.16	0.12301	0.58444
ENSMUSG00000038383	Pigu	phosphatidylinositol glycan anchor biosynthesis, class U 	2	930.84	0.1	0.06	1.54	1.07	0.12306	0.58444
ENSMUSG00000023572	Ccndbp1	cyclin D-type binding-protein 1 	2	1811.34	0.1	0.07	1.54	1.07	0.12298	0.58444
ENSMUSG00000006010	Odr4	odr4 GPCR localization factor homolog 	2	2031.82	-0.13	0.08	-1.54	0.92	0.12307	0.58444
ENSMUSG00000070304	Scn2b	sodium channel, voltage-gated, type II, beta 	2	16330.09	-0.08	0.05	-1.54	0.95	0.12292	0.58444
ENSMUSG00000024456	Diaph1	diaphanous related formin 1 	2	2854.08	0.21	0.14	1.54	1.16	0.12326	0.58477
ENSMUSG00000060733	Ipmk	inositol polyphosphate multikinase 	2	1193.05	0.15	0.1	1.54	1.11	0.12334	0.58497
